School Name,School Level,School ID_x,State School ID,Zip Code,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic/Latino Count,Native Hawaiian or Other Pacific Islander Count,White Count,Male Count,Female Count,Economically Disadvantaged Count,Students with Disabilities Count,Limited English Proficiency Count,ach_score,lg_score,lg_grade,Total Funding Per Pupil,Federal Per Pupil,State and Local Per Pupil,Percentage Experienced Teachers,Student-Educator Ratio,ADDRESS,CITY,STATE,ZIP
Goodlettsville Middle,Middle School,355,275,37072,432,,,,,,,,,34%,36%,30%,,,,,0.003333333,0.003333333,0.4,0.38,0.003333333,0.21,0.53,0.47,0.38,0.18,0.28,1/17/23,1.4400000000000013,1.4400000000000013,172.8,164.16,1.4400000000000013,90.72,228.96,203.04,164.16,77.75999999999999,120.96000000000001,1,2.1,D,14644.98,2008.49,12636.49,0.8889,16,300 South Main ST,Goodlettsville,TN,37072
Gower Elementary,Elementary School,360,280,37209,606,< 10,8%,17%,17%,14%,17%,14%,12%,,,,,,,,0.005,0.08,0.24,0.21,0.005,0.46,0.53,0.47,0.23,0.14,0.18,1/17/23,3.030000000000003,48.480000000000004,145.44,127.25999999999999,3.030000000000003,278.76,321.18,284.82,139.38,84.84,109.08,3,3.6,B,18165.850000000002,2751.2,15414.650000000001,0.8837,13,650 Old Hickory BLVD,Nashville,TN,37209
Granbery Elementary,Elementary School,370,290,37027,663,,,23%,25%,16%,18%,18%,,,,,,,,,0,0.13,0.15,0.18,0,0.54,0.51,0.49,0.13,0.08,0.21,1/17/23,0,86.19,99.45,119.33999999999999,0,358.02000000000004,338.13,324.87,86.19,53.04,139.23,5,4.8,A,15193.49,1688.72,13504.77,0.8162999999999999,14,5501  Hill  RD,Brentwood,TN,37027
H.G. Hill Middle School,Middle School,434,295,37205,428,,,,,,,,,32%,36%,32%,,,,,0.005,0.07,0.29,0.32,0.005,0.31,0.51,0.49,0.32,0.13,0.31,1/17/23,2.140000000000002,29.960000000000004,124.11999999999999,136.96,2.140000000000002,132.68,218.28,209.72,136.96,55.64,132.68,2,3.5,B,15955.240000000002,2262.43,13692.810000000001,0.8787999999999999,13,150 Davidson RD,Nashville,TN,37205
Harpeth Valley Elementary,Elementary School,395,300,37221,612,,< 10,23%,20%,18%,19%,18%,,,,,,,,,0.010000000000000009,0.07,0.11,0.08,0.010000000000000009,0.72,0.52,0.48,0.08,0.09,0.05,1/17/23,6.120000000000005,42.84,67.32000000000001,48.96,6.120000000000005,440.64,318.24,293.76,48.96,55.08,30.6,5,4.5,A,15191.12,1708.22,13482.900000000001,1,14,7840 Learning LN,Nashville,TN,37221
Hattie Cotton Elementary,Elementary School,230,140,37206,246,< 10,7%,14%,17%,16%,17%,15%,14%,,,,,,,,0,0,0.72,0.17,0,0.11,0.5,0.5,0.62,0.13,0.16,1/17/23,0,0,177.12,41.82,0,27.06,123,123,152.52,31.98,39.36,1,1.9,D,18655.86,3790.9799999999996,14864.880000000001,0.7826000000000001,10,1033 West Greenwood AVE,Nashville,TN,37206
Haynes Middle,Middle School,400,305,37207,308,,,,,,,,,29%,32%,39%,,,,,3.700743415417188e-17,3.700743415417188e-17,0.82,0.1,3.700743415417188e-17,0.08,0.56,0.44,0.78,0.22,0.07,1/17/23,1.139828971948494e-14,1.139828971948494e-14,252.55999999999997,30.8,1.139828971948494e-14,24.64,172.48000000000002,135.52,240.24,67.76,21.560000000000002,1,2.2,D,16544.59,3374.5699999999997,13170.02,0.6667000000000001,14,510 West Trinity LN,Nashville,TN,37207
Haywood Elementary,Elementary School,405,310,37211,594,< 5%,8%,20%,16%,16%,17%,20%,,,,,,,,,5.551115123125783e-17,0.1,0.12,0.7,5.551115123125783e-17,0.08,0.54,0.46,0.38,0.1,0.68,1/17/23,3.297362383136715e-14,59.400000000000006,71.28,415.79999999999995,3.297362383136715e-14,47.52,320.76000000000005,273.24,225.72,59.400000000000006,403.92,1,2.4,D,17095.489999999998,3133.2299999999996,13962.259999999998,0.72,10,3790  Turley  DR,Nashville,TN,37211
Head Middle,Middle School,410,315,37203,510,,,,,,,,30%,33%,16%,20%,,,,,0.005,0.07,0.54,0.07,0.005,0.31,0.49,0.51,0.2,0.07,0.08,1/17/23,2.5499999999999456,35.7,275.40000000000003,35.7,2.5499999999999456,158.1,249.9,260.1,102,35.7,40.800000000000004,4.2,3.7,B,14093.769999999999,2195.99,11897.779999999999,0.9375,16,1830 Jo Johnston AVE,Nashville,TN,37203
Henry C Maxwell Elementary,Elementary School,552,318,37013,565,< 5%,10%,14%,20%,17%,18%,19%,,,,,,,,,0.005,0.11,0.23,0.43,0.005,0.22,0.51,0.49,0.31,0.12,0.51,1/17/23,2.8250000000000024,62.15,129.95000000000002,242.95,2.8250000000000024,124.3,288.15,276.85,175.15,67.8,288.15,2,3.4,C,16102.080000000002,2666.2,13435.880000000001,0.8205,13,5535 Blue Hole RD,Antioch,TN,37013
